field,name,team_abbr,conf,division,team_lat,team_lng,team
State Farm Arena,Atlanta Hawks,ATL,Eastern,Southeast,33.7573,-84.3963,0
TD Garden,Boston Celtics,BOS,Eastern,Atlantic,42.3663,-71.0622,1
Barclays Center,Brooklyn Nets,BKN,Eastern,Atlantic,40.6826,-73.9754,2
Spectrum Center,Charlotte Hornets,CHA,Eastern,Southeast,35.2251,-80.8392,3
United Center,Chicago Bulls,CHI,Eastern,Central,41.8807,-87.6742,4
Rocket Mortgage FieldHouse,Cleveland Cavaliers,CLE,Eastern,Central,41.4965,-81.6882,5
Little Caesars Arena,Detroit Pistons,DET,Eastern,Central,42.3411,-83.0553,6
Gainbridge Fieldhouse,Indiana Pacers,IND,Eastern,Central,39.764,-86.1555,7
FTX Arena,Miami Heat,MIA,Eastern,Southeast,25.7814,-80.1878,8
Fiserv Forum,Milwaukee Bucks,MIL,Eastern,Central,43.0451,-87.9174,9
Madison Square Garden,New York Knicks,NYK,Eastern,Atlantic,40.7505,-73.9934,10
Amway Center,Orlando Magic,ORL,Eastern,Southeast,28.5392,-81.3839,11
Wells Fargo Center,Philadelphia 76ers,PHI,Eastern,Atlantic,39.9012,-75.1719,12
Scotiabank Arena,Toronto Raptors,TOR,Eastern,Atlantic,43.6435,-79.3791,13
Capital One Arena,Washington Wizards,WAS,Eastern,Southeast,38.898,-77.0209,14
